pcie	implication	processor may operate in polling compliance mode with an incorrect transmitter de
pcie	implication	the processor may operate in polling compliance mode with an incorrect transmitter
pcie	implication	specification intel has not observed any functional failures due to this erratum
pcie	implication	operate in polling compliance mode with an incorrect transmitter de emphasis level
pcie	implication	may operate in polling compliance mode with an incorrect transmitter de emphasis
pcie	implication	may set a correctable error status bit which has no functional effect
pcie	implication	this erratum the pcie root port may not initiate a link speed
pcie	implication	port may not initiate a link speed change during some hardware scenarios
pcie	implication	link to operate at a lower than expected speed intel has not
pcie	implication	to this erratum the pcie ports do not support dll link active
pcie	implication	this erratum the pcie ports do not support dll link active reporting
pcie	implication	the pcie ports do not support dll link active reporting this may
pcie	implication	pcie specification intel has not observed any functional failures due to this
pcie	implication	the tlp request the link partner may set a correctable error status
pcie	implication	will replay the tlp request the link partner may set a correctable
pcie	implication	scenarios causing the pcie link to operate at a lower than expected
pcie	implication	to this erratum the pcie root port may not initiate a link
pcie	implication	pcie link partner will replay the tlp request the link partner may
pcie	implication	link partner will replay the tlp request the link partner may set
pcie	implication	functional failures due to this erratum with any commercially available pcie devices
pcie	implication	the link partner may set a correctable error status bit which has
pcie	implication	to operate at a lower than expected speed intel has not observed
pcie	implication	pcie root port may not initiate a link speed change during some
pcie	implication	due to this erratum the pcie root port may not initiate a
pcie	implication	speed change during some hardware scenarios causing the pcie link to operate
pcie	implication	the pcie link partner will replay the tlp request the link partner
pcie	implication	the pcie root port may not initiate a link speed change during
pcie	implication	partner will replay the tlp request the link partner may set a
pcie	implication	not initiate a link speed change during some hardware scenarios causing the
pcie	implication	than expected speed intel has not observed this erratum with any commercially
pcie	implication	the recovery event the pcie link partner will replay the tlp request
pcie	implication	a link speed change during some hardware scenarios causing the pcie link
pcie	implication	ports do not support dll link active reporting this may be reported
pcie	implication	the pcie link to operate at a lower than expected speed intel
pcie	implication	pcie ports do not support dll link active reporting this may be
pcie	implication	operate at a lower than expected speed intel has not observed this
pcie	implication	replay the tlp request the link partner may set a correctable error
pcie	implication	has not observed any functional failures due to this erratum with any
pcie	implication	correctable errors may be reported by a pcie controller for unused lanes
pcie	implication	some hardware scenarios causing the pcie link to operate at a lower
pcie	implication	change during some hardware scenarios causing the pcie link to operate at
pcie	implication	link active reporting this may be reported by a pcie compliance test
pcie	implication	may not initiate a link speed change during some hardware scenarios causing
pcie	implication	not support dll link active reporting this may be reported by a
pcie	implication	event the pcie link partner will replay the tlp request the link
pcie	implication	intel has not observed any functional failures due to this erratum with
pcie	implication	recovery event the pcie link partner will replay the tlp request the
pcie	implication	not observed any functional failures due to this erratum with any commercially
pcie	implication	at a lower than expected speed intel has not observed this erratum
pcie	implication	hardware scenarios causing the pcie link to operate at a lower than
